,local_time,date,latitude,longitude,depth,mag,magType,location
57,2004-02-02 19:12:03.600000+06:30,2004-02-02,26.504,96.564,108.7,4.4,mb,Kachin
58,1975-12-29 07:50:02.900000+06:30,1975-12-29,26.487,97.14200000000001,58.0,4.8,mb,Kachin
59,2008-01-12 23:10:37.460000+06:30,2008-01-12,26.486,96.355,35.0,4.3,mb,Kachin
60,1976-11-01 01:06:26+06:30,1976-11-01,26.48,96.559,33.0,4.8,mb,Kachin
61,2003-01-01 23:22:45.750000+06:30,2003-01-01,26.478,96.292,98.0,4.1,mb,Kachin
62,2006-08-09 21:07:18.010000+06:30,2006-08-09,26.467,96.325,88.0,4.5,mb,Kachin
63,2005-11-19 01:26:55.530000+06:30,2005-11-19,26.465999999999998,96.37899999999999,90.7,4.8,mb,Kachin
64,1998-01-11 02:56:20.010000+06:30,1998-01-11,26.462,96.82700000000001,150.0,4.0,mb,Kachin
65,1991-05-12 00:04:08.350000+06:30,1991-05-12,26.456,96.23700000000001,107.1,4.9,mb,Kachin
66,2005-06-12 10:12:33.350000+06:30,2005-06-12,26.454,96.249,91.3,4.1,mb,Kachin
67,1978-08-10 21:22:51.800000+06:30,1978-08-10,26.449,96.93299999999999,33.0,5.1,mb,Kachin
68,2018-04-02 18:12:10.860000+06:30,2018-04-02,26.4448,96.9676,10.0,4.9,mb,Kachin
69,2000-02-03 15:03:44.930000+06:30,2000-02-03,26.435,96.758,122.4,4.3,mb,Kachin
70,2004-09-23 06:29:34.150000+06:30,2004-09-23,26.432,96.12799999999999,70.5,3.8,mb,Kachin
71,2001-08-08 03:51:56.580000+06:30,2001-08-08,26.432,96.346,111.7,4.5,mb,Kachin
72,1997-12-28 18:52:24.940000+06:30,1997-12-28,26.43,96.23700000000001,100.0,4.0,mb,Kachin
73,1997-06-25 00:23:15.960000+06:30,1997-06-25,26.43,96.15,33.0,4.2,mb,Kachin
74,2007-12-22 04:29:52.770000+06:30,2007-12-22,26.399,96.78399999999999,35.0,3.9,mb,Kachin
75,1982-12-25 23:21:53.520000+06:30,1982-12-25,26.398000000000003,96.367,104.5,4.7,mb,Kachin
76,1975-06-03 07:29:11.300000+06:30,1975-06-03,26.393,97.069,37.0,4.8,mb,Kachin
77,1981-02-08 04:07:17.940000+06:30,1981-02-08,26.38,97.08200000000001,33.0,4.9,mb,Kachin
78,2010-08-06 00:44:19.320000+06:30,2010-08-06,26.372,97.02,38.8,4.2,mb,Kachin
79,1983-01-25 11:35:22.750000+06:30,1983-01-25,26.368000000000002,96.381,105.3,4.8,mb,Kachin
80,1993-04-14 03:17:08.670000+06:30,1993-04-14,26.36,96.23200000000001,85.5,4.3,mb,Kachin
81,2010-08-06 00:47:46.990000+06:30,2010-08-06,26.329,96.99799999999999,25.8,4.6,mb,Kachin
82,1989-04-08 15:33:37.910000+06:30,1989-04-08,26.320999999999998,96.721,33.0,4.4,mb,Kachin
83,1991-03-28 04:38:04.870000+06:30,1991-03-28,26.318,97.226,33.0,4.0,mb,Kachin
84,1986-06-23 15:20:15.520000+06:30,1986-06-23,26.311,96.899,33.0,5.0,mb,Kachin
85,1997-11-08 23:10:41.140000+06:30,1997-11-08,26.301,96.03299999999999,118.2,4.5,mb,Sagaing
86,1985-11-28 20:12:52.170000+06:30,1985-11-28,26.294,97.068,10.0,4.9,mb,Kachin
87,2002-01-17 21:12:56.900000+06:30,2002-01-17,26.276,96.41,96.0,4.5,mb,Kachin
88,1995-10-03 03:12:19.080000+06:30,1995-10-03,26.256,96.35600000000001,116.7,4.2,mb,Kachin
89,2004-06-15 11:23:58.890000+06:30,2004-06-15,26.241999999999997,96.163,35.9,4.5,mb,Kachin
90,1994-04-06 13:46:59.920000+06:30,1994-04-06,26.232,96.749,33.0,4.7,mb,Kachin
91,2010-08-04 12:11:24.190000+06:30,2010-08-04,26.221,96.89,36.4,4.1,mb,Kachin
92,1985-04-24 13:17:42.820000+06:30,1985-04-24,26.218000000000004,96.01299999999999,27.6,5.3,mw,Sagaing
93,1989-02-12 14:25:47.520000+06:30,1989-02-12,26.215999999999998,96.866,33.0,5.3,mw,Kachin
94,2003-07-29 12:55:40.190000+06:30,2003-07-29,26.213,96.00399999999999,63.5,4.7,mb,Sagaing
95,2006-05-26 11:22:09.510000+06:30,2006-05-26,26.209,96.85799999999999,27.2,4.6,mb,Kachin
96,1995-06-27 12:18:25.150000+06:30,1995-06-27,26.209,96.34200000000001,33.0,4.6,mb,Kachin
97,2006-04-06 21:26:37.210000+06:30,2006-04-06,26.209,96.66799999999999,29.5,4.4,mb,Kachin
98,1997-11-23 19:27:56.590000+06:30,1997-11-23,26.191999999999997,96.064,54.7,4.7,mb,Sagaing
99,1994-04-06 13:33:27.610000+06:30,1994-04-06,26.188000000000002,96.867,33.0,5.9,mw,Kachin
100,1983-11-16 07:24:11.790000+06:30,1983-11-16,26.174,96.09899999999999,139.3,5.1,mb,Sagaing
101,2007-05-02 03:21:38.020000+06:30,2007-05-02,26.141,96.62200000000001,10.0,4.1,mb,Kachin
102,1983-12-22 22:30:11.130000+06:30,1983-12-22,26.141,96.463,33.0,4.4,mb,Kachin
103,1976-06-01 17:28:58.600000+06:30,1976-06-01,26.138,96.274,46.0,4.9,mb,Kachin
104,1976-06-05 17:16:16+06:30,1976-06-05,26.127,96.161,97.0,4.1,mb,Kachin
105,2019-03-14 21:47:36.774000+06:30,2019-03-14,26.1211,96.9489,45.71,4.3,mb,Kachin
106,2011-02-15 06:14:33.550000+06:30,2011-02-15,26.114,96.32600000000001,59.1,4.8,mb,Kachin
107,2008-04-04 04:42:54.710000+06:30,2008-04-04,26.105999999999998,96.915,30.2,4.6,mb,Kachin
108,1995-02-10 12:13:45.850000+06:30,1995-02-10,26.103,96.193,93.4,4.0,mb,Kachin
109,2012-08-03 01:36:12.700000+06:30,2012-08-03,26.103,96.324,55.6,5.1,mb,Kachin
110,1987-05-16 01:09:45.880000+06:30,1987-05-16,26.1,96.941,33.0,4.0,mb,Kachin
